Property_ID,Timestamp,half-hour,Boiler_Energy_Output,Circulation_Pump_Energy_Consumed,Heat_Pump_Energy_Output,Whole_System_Energy_Consumed,External_Air_Temperature,Heat_Pump_Heating_Flow_Temperature,Heat_Pump_Return_Temperature,Internal_Air_Temperature,Hot_Water_Flow_Temperature,Immersion_Heater_Energy_Consumed,Back-up_Heater_Energy_Consumed,Brine_Flow_Temperature,Brine_Return_Temperature
EOH0669,2021-11-10 09:00:00,09:00:00,,0.0,45.964,12.677,8.25,39.74,34.08,19.26,,0.0,,,
EOH0669,2021-11-10 09:30:00,09:30:00,,0.0,49.736,13.675,9.0,46.63,41.56,20.4,,0.0,,,
EOH0669,2021-11-10 10:00:00,10:00:00,,0.0,51.518,14.131,9.49,43.81,38.55,21.27,,0.0,,,
EOH0669,2021-11-10 10:30:00,10:30:00,,0.0,51.518,14.142,9.69,39.78,36.65,21.49,,0.0,,,
EOH0669,2021-11-10 11:00:00,11:00:00,,0.0,51.518,14.158,9.99,37.05,34.48,21.41,,0.0,,,
EOH0669,2021-11-10 11:30:00,11:30:00,,0.0,51.518,14.184,10.39,35.03,32.84,21.11,,0.0,,,
EOH0669,2021-11-10 12:00:00,12:00:00,,0.0,51.518,14.211,10.67,33.44,31.53,20.91,,0.0,,,
EOH0669,2021-11-10 12:30:00,12:30:00,,0.0,51.518,14.232,10.82,32.24,30.47,20.71,,0.0,,,
EOH0669,2021-11-10 13:00:00,13:00:00,,0.0,51.518,14.243,10.71,31.28,29.65,20.47,,0.0,,,
EOH0669,2021-11-10 13:30:00,13:30:00,,0.0,51.518,14.255,10.31,30.49,28.96,20.38,,0.0,,,
EOH0669,2021-11-10 14:00:00,14:00:00,,0.0,51.518,14.266,9.89,29.86,28.42,20.49,,0.0,,,
EOH0669,2021-11-10 14:30:00,14:30:00,,0.0,51.518,14.277,9.44,29.34,27.98,20.49,,0.0,,,
EOH0669,2021-11-10 15:00:00,15:00:00,,0.0,51.518,14.288,8.78,28.89,27.59,20.4,,0.0,,,
EOH0669,2021-11-10 15:30:00,15:30:00,,0.0,51.518,14.299,7.88,28.48,27.24,20.19,,0.0,,,
EOH0669,2021-11-10 16:00:00,16:00:00,,0.0,53.289,14.658,7.19,27.67,25.24,20.02,,0.0,,,
EOH0669,2021-11-10 16:30:00,16:30:00,,0.0,58.496,15.953,6.74,40.26,34.05,20.23,29.79,0.0,,,
EOH0669,2021-11-10 17:00:00,17:00:00,,0.0,64.385,17.665,6.22,49.71,44.02,21.11,,0.0,,,
EOH0669,2021-11-10 17:30:00,17:30:00,,0.0,69.471,19.251,5.62,53.34,47.91,22.2,,0.0,,,
EOH0669,2021-11-10 18:00:00,18:00:00,,0.0,73.609,20.499,5.11,51.66,45.95,23.12,,0.0,,,
EOH0669,2021-11-10 18:30:00,18:30:00,,0.0,77.991,21.909,4.71,50.25,45.22,23.76,,0.0,,,
EOH0669,2021-11-10 19:00:00,19:00:00,,0.0,81.695,23.009,4.31,49.95,44.26,24.16,,0.0,,,
EOH0669,2021-11-10 19:30:00,19:30:00,,0.0,85.536,24.141,3.91,49.82,44.3,24.39,,0.0,,,
EOH0669,2021-11-10 20:00:00,20:00:00,,0.0,89.104,25.193,3.84,49.02,43.55,24.65,,0.0,,,
EOH0669,2021-11-10 20:30:00,20:30:00,,0.0,89.889,25.444,4.14,41.27,40.07,24.82,,0.0,,,
EOH0669,2021-11-10 21:00:00,21:00:00,,0.0,89.889,25.491,4.39,32.61,32.54,24.52,,0.0,,,
EOH0669,2021-11-10 21:30:00,21:30:00,,0.0,89.889,25.55,4.59,28.66,28.63,23.99,,0.0,,,
EOH0669,2021-11-10 22:00:00,22:00:00,,0.0,89.889,25.613,4.75,26.42,26.41,23.46,,0.0,,,
EOH0669,2021-11-10 22:30:00,22:30:00,,0.0,89.889,25.662,4.85,25.0,24.99,22.98,,0.0,,,
EOH0669,2021-11-10 23:00:00,23:00:00,,0.0,89.889,25.709,5.18,24.03,24.02,22.56,,0.0,,,
EOH0669,2021-11-10 23:30:00,23:30:00,,0.0,89.889,25.755,5.78,23.29,23.29,22.17,,0.0,,,
EOH0669,2021-11-11 00:00:00,00:00:00,,0.0,89.889,25.802,5.63,22.7,22.7,21.79,,0.0,,,
EOH0669,2021-11-11 00:30:00,00:30:00,,0.0,89.889,25.849,4.63,22.21,22.22,21.45,,0.0,,,
EOH0669,2021-11-11 01:00:00,01:00:00,,0.0,90.417,26.099,4.24,21.86,23.51,21.14,27.77,0.0,,,
EOH0669,2021-11-11 01:30:00,01:30:00,,0.0,95.133,27.734,4.54,,42.97,20.84,48.15,0.0,,,
EOH0669,2021-11-11 02:00:00,02:00:00,,0.0,97.881,28.787,4.84,28.67,49.42,20.56,57.96,0.0,,,
EOH0669,2021-11-11 02:30:00,02:30:00,,0.0,97.881,28.833,5.14,25.04,25.03,20.46,,0.0,,,
EOH0669,2021-11-11 03:00:00,03:00:00,,0.0,97.881,28.884,5.21,23.51,23.49,20.37,,0.0,,,
EOH0669,2021-11-11 03:30:00,03:30:00,,0.0,97.881,28.944,5.01,22.35,22.34,20.19,,0.0,,,
EOH0669,2021-11-11 04:00:00,04:00:00,,0.0,97.881,28.991,4.76,21.57,21.57,19.98,,0.0,,,
EOH0669,2021-11-11 04:30:00,04:30:00,,0.0,97.881,29.041,4.46,21.01,21.01,19.77,,0.0,,,
EOH0669,2021-11-11 05:00:00,05:00:00,,0.0,97.881,29.101,4.35,20.57,20.58,19.57,,0.0,,,
EOH0669,2021-11-11 05:30:00,05:30:00,,0.0,97.916,29.162,4.45,20.41,20.23,19.38,,0.0,,,
EOH0669,2021-11-11 06:00:00,06:00:00,,0.0,102.402,30.223,4.73,31.32,27.07,19.26,,0.0,,,
EOH0669,2021-11-11 06:30:00,06:30:00,,0.0,107.922,31.762,5.23,45.23,39.81,19.91,,0.0,,,
EOH0669,2021-11-11 07:00:00,07:00:00,,0.0,111.425,32.79,5.45,47.43,42.14,20.85,,0.0,,,
EOH0669,2021-11-11 07:30:00,07:30:00,,0.0,114.178,33.568,5.35,44.32,39.9,21.47,,0.0,,,
EOH0669,2021-11-11 08:00:00,08:00:00,,0.0,114.178,33.614,5.56,33.59,33.52,21.74,,0.0,,,
EOH0669,2021-11-11 08:30:00,08:30:00,,0.0,114.178,33.663,6.11,27.97,27.92,21.62,,0.0,,,
EOH0669,2021-11-11 09:00:00,09:00:00,,0.0,114.178,33.726,6.66,25.1,25.08,21.28,,0.0,,,
EOH0669,2021-11-11 09:30:00,09:30:00,,0.0,114.178,33.789,7.21,23.48,23.47,21.08,,0.0,,,
EOH0669,2021-11-11 10:00:00,10:00:00,,0.0,114.178,33.852,8.15,22.39,22.38,20.71,,0.0,,,
EOH0669,2021-11-11 10:30:00,10:30:00,,0.0,114.178,33.891,9.55,22.19,22.11,20.67,,0.0,,,
EOH0669,2021-11-11 11:00:00,11:00:00,,0.0,114.178,33.918,10.58,23.72,22.81,20.44,,0.0,,,
EOH0669,2021-11-11 11:30:00,11:30:00,,0.0,117.802,34.665,11.18,29.36,25.49,19.88,,0.0,,,
EOH0669,2021-11-11 12:00:00,12:00:00,,0.0,122.716,35.906,11.52,44.56,39.54,20.61,,0.0,,,
EOH0669,2021-11-11 12:30:00,12:30:00,,0.0,123.547,36.12,11.57,43.64,39.08,21.5,,0.0,,,
EOH0669,2021-11-11 13:00:00,13:00:00,,0.0,123.547,36.131,11.41,39.36,36.4,21.78,,0.0,,,
EOH0669,2021-11-11 13:30:00,13:30:00,,0.0,123.547,36.153,11.01,36.74,34.24,21.72,,0.0,,,
EOH0669,2021-11-11 14:00:00,14:00:00,,0.0,123.547,36.168,10.66,34.74,32.66,21.51,,0.0,,,
EOH0669,2021-11-11 14:30:00,14:30:00,,0.0,123.547,36.179,10.36,33.2,31.46,21.08,,0.0,,,
EOH0669,2021-11-11 15:00:00,15:00:00,,0.0,123.547,36.19,10.18,32.0,30.5,20.73,,0.0,,,
EOH0669,2021-11-11 15:30:00,15:30:00,,0.0,123.547,36.213,10.13,31.04,29.71,20.43,,0.0,,,
EOH0669,2021-11-11 16:00:00,16:00:00,,0.0,123.547,36.228,10.1,30.26,29.05,20.16,,0.0,,,
EOH0669,2021-11-11 16:30:00,16:30:00,,0.0,126.834,37.008,10.1,29.8,30.53,19.97,35.42,0.0,,,
EOH0669,2021-11-11 17:00:00,17:00:00,,0.0,131.679,38.685,10.05,,49.08,19.81,54.28,0.0,,,
EOH0669,2021-11-11 17:30:00,17:30:00,,0.0,135.858,39.639,9.95,35.63,37.15,19.8,58.36,0.0,,,
EOH0669,2021-11-11 18:00:00,18:00:00,,0.0,141.774,41.245,9.99,47.27,41.54,20.55,,0.0,,,
EOH0669,2021-11-11 18:30:00,18:30:00,,0.0,144.894,42.163,10.19,52.0,46.62,21.78,,0.0,,,
EOH0669,2021-11-11 19:00:00,19:00:00,,0.0,144.894,42.174,10.3,46.37,43.02,22.31,,0.0,,,
EOH0669,2021-11-11 19:30:00,19:30:00,,0.0,144.894,42.185,10.3,42.36,39.45,22.34,,0.0,,,
EOH0669,2021-11-11 20:00:00,20:00:00,,0.0,144.894,42.204,10.28,39.35,36.91,22.13,,0.0,,,
EOH0669,2021-11-11 20:30:00,20:30:00,,0.0,144.894,42.231,10.23,36.99,35.0,21.8,,0.0,,,
EOH0669,2021-11-11 21:00:00,21:00:00,,0.0,144.894,42.257,10.43,35.15,33.51,21.47,,0.0,,,
EOH0669,2021-11-11 21:30:00,21:30:00,,0.0,144.894,42.284,10.93,33.72,32.34,21.14,,0.0,,,
EOH0669,2021-11-11 22:00:00,22:00:00,,0.0,144.894,42.303,11.15,32.6,31.4,20.92,,0.0,,,
EOH0669,2021-11-11 22:30:00,22:30:00,,0.0,144.894,42.322,11.05,31.65,30.58,20.69,,0.0,,,
EOH0669,2021-11-11 23:00:00,23:00:00,,0.0,144.894,42.349,10.95,30.87,29.9,20.5,,0.0,,,
EOH0669,2021-11-11 23:30:00,23:30:00,,0.0,144.894,42.369,10.14,30.24,29.33,20.32,,0.0,,,
EOH0669,2021-11-12 00:00:00,00:00:00,,0.0,144.894,42.38,0.11,,28.81,,,0.0,,,
EOH0669,2021-11-12 00:30:00,00:30:00,,0.0,144.894,42.399,0.11,,28.4,,,0.0,,,
EOH0669,2021-11-12 01:00:00,01:00:00,,0.0,144.894,42.427,0.11,,28.03,,,0.0,,,
EOH0669,2021-11-12 01:30:00,01:30:00,,0.0,144.894,42.455,0.1,,27.7,,,0.0,,,
EOH0669,2021-11-12 02:00:00,02:00:00,,0.0,144.894,42.483,0.1,,27.41,,,0.0,,,
EOH0669,2021-11-12 02:30:00,02:30:00,,0.0,144.894,42.503,0.1,,27.17,,,0.0,,,
EOH0669,2021-11-12 03:00:00,03:00:00,,0.0,144.894,42.514,0.1,,26.93,,,0.0,,,
EOH0669,2021-11-12 03:30:00,03:30:00,,0.0,148.577,43.244,0.09,29.02,26.79,,24.0,0.0,,,
EOH0669,2021-11-12 04:00:00,04:00:00,,0.0,153.958,44.595,0.09,,,,,0.0,,,
EOH0669,2021-11-12 04:30:00,04:30:00,,0.0,156.715,45.315,0.1,,,,,0.0,,,
EOH0669,2021-11-12 05:00:00,05:00:00,,0.0,158.353,45.723,0.1,,38.49,21.35,,0.0,,,
EOH0669,2021-11-12 05:30:00,05:30:00,,0.0,158.353,45.734,0.1,,,21.42,,0.0,,,
EOH0669,2021-11-12 06:00:00,06:00:00,,0.0,158.353,45.753,0.1,,,21.25,,0.0,,,
EOH0669,2021-11-12 06:30:00,06:30:00,,0.0,158.353,45.78,0.1,,32.36,,,0.0,,,
EOH0669,2021-11-12 07:00:00,07:00:00,,0.0,158.353,45.807,0.1,,31.41,,,0.0,,,
EOH0669,2021-11-12 07:30:00,07:30:00,,0.0,158.353,45.826,0.1,,30.36,,,0.0,,,
EOH0669,2021-11-12 08:00:00,08:00:00,,0.0,162.69,46.884,0.1,,29.81,,27.21,0.0,,,
EOH0669,2021-11-12 08:30:00,08:30:00,,0.0,167.767,48.573,0.1,,,,,0.0,,,
EOH0669,2021-11-12 09:00:00,09:00:00,,0.0,169.389,49.273,0.1,57.7,55.71,,,0.0,,,
EOH0669,2021-11-12 09:30:00,09:30:00,,0.0,169.389,49.284,0.1,,,,,0.0,,,
EOH0669,2021-11-12 10:00:00,10:00:00,,0.0,169.389,49.301,0.1,,,,,0.0,,,
EOH0669,2021-11-12 10:30:00,10:30:00,,0.0,169.389,49.328,0.11,,,,,0.0,,,
EOH0669,2021-11-12 11:00:00,11:00:00,,0.0,169.389,49.355,0.11,,,,,0.0,,,
EOH0669,2021-11-12 11:30:00,11:30:00,,0.0,169.389,49.382,0.11,,,,,0.0,,,
EOH0669,2021-11-12 12:00:00,12:00:00,,0.0,169.389,49.409,0.11,,34.1,,,0.0,,,
EOH0669,2021-11-12 12:30:00,12:30:00,,0.0,169.389,49.437,0.11,,32.47,,,0.0,,,
EOH0669,2021-11-12 13:00:00,13:00:00,,0.0,169.389,49.464,0.12,,31.63,,,0.0,,,
EOH0669,2021-11-12 13:30:00,13:30:00,,0.0,169.389,49.492,0.12,,31.12,,,0.0,,,
EOH0669,2021-11-12 14:00:00,14:00:00,,0.0,169.389,49.52,0.12,,30.73,,,0.0,,,
EOH0669,2021-11-12 14:30:00,14:30:00,,0.0,171.311,49.854,0.11,,30.51,,,0.0,,,
EOH0669,2021-11-12 15:00:00,15:00:00,,0.0,177.561,51.352,0.11,,,,,0.0,,,
EOH0669,2021-11-12 15:30:00,15:30:00,,0.0,182.885,52.88,0.11,,48.48,,,0.0,,,
EOH0669,2021-11-12 16:00:00,16:00:00,,0.0,186.9,54.013,0.11,,46.08,,,0.0,,,
EOH0669,2021-11-12 16:30:00,16:30:00,,0.0,189.496,54.741,0.1,,46.05,,,0.0,,,
EOH0669,2021-11-12 17:00:00,17:00:00,,0.0,189.496,54.752,0.1,,,,,0.0,,,
EOH0669,2021-11-12 17:30:00,17:30:00,,0.0,189.496,54.768,0.1,,,,,0.0,,,
EOH0669,2021-11-12 18:00:00,18:00:00,,0.0,189.496,54.79,0.1,,,,,0.0,,,
EOH0669,2021-11-12 18:30:00,18:30:00,,0.0,189.496,54.801,0.1,,35.28,,,0.0,,,
EOH0669,2021-11-12 19:00:00,19:00:00,,0.0,192.092,55.331,0.1,,34.64,,,0.0,,,
EOH0669,2021-11-12 19:30:00,19:30:00,,0.0,197.932,56.871,0.1,,46.32,,,0.0,,,
EOH0669,2021-11-12 20:00:00,20:00:00,,0.0,201.716,57.925,0.1,50.9,45.34,,,0.0,,,
EOH0669,2021-11-12 20:30:00,20:30:00,,0.0,202.633,58.186,0.1,50.18,44.44,,,0.0,,,
EOH0669,2021-11-12 21:00:00,21:00:00,,0.0,202.633,58.197,0.11,,,,,0.0,,,
EOH0669,2021-11-12 21:30:00,21:30:00,,0.0,202.633,58.22,0.11,,,,,0.0,,,
EOH0669,2021-11-12 22:00:00,22:00:00,,0.0,202.633,58.247,0.11,,35.61,,,0.0,,,
EOH0669,2021-11-12 22:30:00,22:30:00,,0.0,202.633,58.262,0.11,,34.74,,,0.0,,,
