Property_ID,Timestamp,half-hour,Boiler_Energy_Output,Circulation_Pump_Energy_Consumed,Heat_Pump_Energy_Output,Whole_System_Energy_Consumed,External_Air_Temperature,Heat_Pump_Heating_Flow_Temperature,Heat_Pump_Return_Temperature,Internal_Air_Temperature,Hot_Water_Flow_Temperature,Immersion_Heater_Energy_Consumed,Back-up_Heater_Energy_Consumed,Brine_Flow_Temperature,Brine_Return_Temperature
EOH0451,2021-10-15 11:00:00,11:00:00,,,,,8.73,,,,,,,,
EOH0451,2021-10-15 11:30:00,11:30:00,,,,,8.82,,,20.07,,,,,
EOH0451,2021-10-15 12:00:00,12:00:00,,,,,9.16,,,19.84,,,,,
EOH0451,2021-10-15 12:30:00,12:30:00,,,,,9.71,,,19.58,,,,,
EOH0451,2021-10-15 13:00:00,13:00:00,,,,,10.16,,,19.42,,,,,
EOH0451,2021-10-15 13:30:00,13:30:00,,,,,10.51,,,19.28,,,,,
EOH0451,2021-10-15 14:00:00,14:00:00,,,,,10.65,,,19.17,,,,,
EOH0451,2021-10-15 14:30:00,14:30:00,,,,,10.55,,,19.11,,,,,
EOH0451,2021-10-15 15:00:00,15:00:00,,,,,10.13,,,19.02,,,,,
EOH0451,2021-10-15 15:30:00,15:30:00,,,,,9.33,,,18.94,,,,,
EOH0451,2021-10-15 16:00:00,16:00:00,,,,,8.39,,,18.86,,,,,
EOH0451,2021-10-15 16:30:00,16:30:00,,,,,7.29,,,18.77,,,,,
EOH0451,2021-10-15 17:00:00,17:00:00,,,,,6.19,,,18.67,,,,,
EOH0451,2021-10-15 17:30:00,17:30:00,,,,,5.09,,,18.58,,,,,
EOH0451,2021-10-15 18:00:00,18:00:00,,,,,4.29,,,18.48,,,,,
EOH0451,2021-10-15 18:30:00,18:30:00,,,,,3.84,,,18.38,,,,,
EOH0451,2021-10-15 19:00:00,19:00:00,,,,,3.6,,,18.29,,,,,
EOH0451,2021-10-15 19:30:00,19:30:00,,,,,3.6,,,18.22,,,,,
EOH0451,2021-10-15 20:00:00,20:00:00,,,,,3.2,,,18.13,,,,,
EOH0451,2021-10-15 20:30:00,20:30:00,,,,,2.35,,,18.06,,,,,
EOH0451,2021-10-15 21:00:00,21:00:00,,,,,1.83,,,18.01,,,,,
EOH0451,2021-10-15 21:30:00,21:30:00,,,,,1.68,,,17.92,,,,,
EOH0451,2021-10-15 22:00:00,22:00:00,,,,,1.48,,,,,,,,
EOH0451,2021-10-15 22:30:00,22:30:00,,,,,1.23,,,,,,,,
EOH0451,2021-10-15 23:00:00,23:00:00,,,,,1.03,,,,,,,,
EOH0451,2021-10-15 23:30:00,23:30:00,,,,,0.88,,,,,,,,
EOH0451,2021-10-16 00:00:00,00:00:00,,,,,0.75,,,17.56,,,,,
EOH0451,2021-10-16 00:30:00,00:30:00,,,,,0.65,,,17.49,,,,,
EOH0451,2021-10-16 01:00:00,01:00:00,,,,,0.58,,,17.4,,,,,
EOH0451,2021-10-16 01:30:00,01:30:00,,,,,0.53,,,17.31,,,,,
EOH0451,2021-10-16 02:00:00,02:00:00,,,,,0.34,,,17.28,,,,,
EOH0451,2021-10-16 02:30:00,02:30:00,,,,,-0.01,,,17.18,,,,,
EOH0451,2021-10-16 03:00:00,03:00:00,,,,,0.06,,,17.17,,,,,
EOH0451,2021-10-16 03:30:00,03:30:00,,,,,0.61,,,17.09,,,,,
EOH0451,2021-10-16 04:00:00,04:00:00,,,,,1.02,,,17.04,,,,,
EOH0451,2021-10-16 04:30:00,04:30:00,,,,,1.27,,,16.99,,,,,
EOH0451,2021-10-16 05:00:00,05:00:00,,,,,1.49,,,16.95,,,,,
EOH0451,2021-10-16 05:30:00,05:30:00,,,,,1.69,,,16.91,,,,,
EOH0451,2021-10-16 06:00:00,06:00:00,,,,,1.89,,,16.82,,,,,
EOH0451,2021-10-16 06:30:00,06:30:00,,,,,2.09,,,16.81,,,,,
EOH0451,2021-10-16 07:00:00,07:00:00,,,,,2.46,,,16.74,,,,,
EOH0451,2021-10-16 07:30:00,07:30:00,,,,,3.01,,,16.73,,,,,
EOH0451,2021-10-16 08:00:00,08:00:00,,,,,3.67,,,16.67,,,,,
EOH0451,2021-10-16 08:30:00,08:30:00,,,,,4.47,,,16.67,,,,,
EOH0451,2021-10-16 09:00:00,09:00:00,,,,,5.25,,,16.65,,,,,
EOH0451,2021-10-16 09:30:00,09:30:00,,,,,6.0,,,16.65,,,,,
EOH0451,2021-10-16 10:00:00,10:00:00,,,,,6.7,,,16.62,,,,,
EOH0451,2021-10-16 10:30:00,10:30:00,,,,,7.35,,,16.62,,,,,
EOH0451,2021-10-16 11:00:00,11:00:00,,,,,7.82,,,16.62,,,,,
EOH0451,2021-10-16 11:30:00,11:30:00,,,,,8.07,,,16.62,,,,,
EOH0451,2021-10-16 12:00:00,12:00:00,,,,,8.22,,,16.58,,,,,
EOH0451,2021-10-16 12:30:00,12:30:00,,,,,8.27,,,16.57,,,,,
EOH0451,2021-10-16 13:00:00,13:00:00,,,,,8.32,,,16.56,,,,,
EOH0451,2021-10-16 13:30:00,13:30:00,,,,,8.37,,,16.56,,,,,
EOH0451,2021-10-16 14:00:00,14:00:00,,,,,8.38,,,16.52,,,,,
EOH0451,2021-10-16 14:30:00,14:30:00,,,,,8.33,,,16.51,,,,,
EOH0451,2021-10-16 15:00:00,15:00:00,,,,,8.3,,,16.51,,,,,
EOH0451,2021-10-16 15:30:00,15:30:00,,,,,8.3,,,16.51,,,,,
EOH0451,2021-10-16 16:00:00,16:00:00,,,,,8.21,,,16.44,,,,,
EOH0451,2021-10-16 16:30:00,16:30:00,,,,,8.01,,,16.43,,,,,
EOH0451,2021-10-16 17:00:00,17:00:00,,,,,7.85,,,16.4,,,,,
EOH0451,2021-10-16 17:30:00,17:30:00,,,,,7.75,,,16.4,,,,,
EOH0451,2021-10-16 18:00:00,18:00:00,,,,,7.65,,,16.37,,,,,
EOH0451,2021-10-16 18:30:00,18:30:00,,,,,7.55,,,16.37,,,,,
